APINumber	Longitude	Latitude
3390001	-122.719558	38.774835
3390002	-122.718712	38.773509
3390003	-122.718378	38.771903
3390004	-122.719475	38.77068
3390005	-122.72354	38.773464
3390009	-122.711268	38.786801
3390014	-122.721188	38.779554
3390015	-122.713243	38.772239
3390016	-122.718685	38.772175
3390017	-122.723564	38.773383
3390018	-122.715804	38.777985
3390019	-122.757246	38.823351
3390020	-122.784542	38.830976
3390021	-122.724886	38.775185
3390022	-122.718936	38.776487
3390023	-122.699484	38.767503
3390024	-122.723652	38.778792
3390025	-122.72101	38.779953
3390027	-122.710861	38.764893
3390030	-122.675633	38.762077
3390033	-122.772416	38.841167
3390034	-122.710616	38.764724
3390036	-122.683806	38.766118
3390048	-122.727728	38.792189
3390049	-122.772226	38.841067
3390058	-122.711379	38.790625
3390059	-122.715661	38.777901
3390060	-122.704706	38.749109
3390063	-122.736205	38.777013
3390084	-122.724938	38.768245
3390098	-122.729231	38.770208
3390099	-122.711601	38.797695
3390100	-122.704819	38.74921
3390101	-122.699793	38.747563
3390163	-122.699915	38.747571
3390171	-122.802	38.842171
3390186	-122.748044	38.815897
3390188	-122.716256	38.784739
3390194	-122.692891	38.762875
3390201	-122.77246	38.837826
3390233	-122.730063	38.774302
3390234	-122.729967	38.774315
3390249	-122.699339	38.767576
3390251	-122.722772	38.762984
3390273	-122.772475	38.84119
3390274	-122.711309	38.755347
3390277	-122.750084	38.829625
3390278	-122.762122	38.835291
3390284	-122.745171	38.786542
3390285	-122.739854	38.781811
3390286	-122.71142	38.755307
3390290	-122.745085	38.786663
3390291	-122.723783	38.788469
3390302	-122.713566	38.766901
3390305	-122.689004	38.757093
3390339	-122.722723	38.762958
3390344	-122.704298	38.765432
3390383	-122.743336	38.792895
3390391	-122.736387	38.794825
3390392	-122.704247	38.765409
3390421	-122.750053	38.829757
3390422	-122.714889	38.777571
3390423	-122.714972	38.777598
3390424	-122.79304	38.853913
3390425	-122.777698	38.834337
3390426	-122.800884	38.854103
3390427	-122.743776	38.793375
3390428	-122.736004	38.783446
3390429	-122.777853	38.834458
3390430	-122.735864	38.783526
3390435	-122.736325	38.794804
3390436	-122.77308	38.837955
3390437	-122.77776	38.8344
3390439	-122.736269	38.79477
3390440	-122.822573	38.89607
3390441	-122.739579	38.788036
3390442	-122.772553	38.837726
3390443	-122.777625	38.834281
3390444	-122.723596	38.778846
3390446	-122.739659	38.787997
3390447	-122.772009	38.83787
3390448	-122.768384	38.821116
3390449	-122.70566	38.783667
3390451	-122.80167	38.863385
3390459	-122.745128	38.786604
3390460	-122.792979	38.853862
3390461	-122.745203	38.786485
3390462	-122.77792	38.834521
3390463	-122.692942	38.762821
3390464	-122.739729	38.787959
3390465	-122.768493	38.821009
3390466	-122.739804	38.787926
3390469	-122.71331	38.766796
3390474	-122.743508	38.792937
3390476	-122.713372	38.766823
3390477	-122.768436	38.821061
3390478	-122.743594	38.792928
3390479	-122.783838	38.841976
3390480	-122.713433	38.76685
3390484	-122.783846	38.842115
3390485	-122.716797	38.763008
3390486	-122.711227	38.755284
3390487	-122.711326	38.75525
3390488	-122.716861	38.762983
3390492	-122.699425	38.767566
3390494	-122.815142	38.863003
3390495	-122.699506	38.767555
3390496	-122.772832	38.837816
3390497	-122.716833	38.769208
3390498	-122.783854	38.842253
3390500	-122.716825	38.769147
3390501	-122.77244	38.837707
3390502	-122.77786	38.83431
3390503	-122.716812	38.769095
3390506	-122.703406	38.757097
3390507	-122.739879	38.787886
3390508	-122.703407	38.757179
3390509	-122.729202	38.770162
3390510	-122.745101	38.786744
3390511	-122.69969	38.747555
3390512	-122.772105	38.8411
3390513	-122.703408	38.757262
3390518	-122.764671	38.831735
3390519	-122.764585	38.831741
3390520	-122.772015	38.841074
3390521	-122.764492	38.831742
3390522	-122.704988	38.749349
3390523	-122.699813	38.747563
3390524	-122.699936	38.747571
3390525	-122.705094	38.749404
3390526	-122.705193	38.749442
3390527	-122.700059	38.747578
3390528	-122.710755	38.764776
3390529	-122.700132	38.747544
3390530	-122.70527	38.74948
3390545	-122.768607	38.820904
3390546	-122.711777	38.755522
3390547	-122.700212	38.747516
3390549	-122.711755	38.755454
3390552	-122.71173	38.755388
3390555	-122.711709	38.755319
3390558	-122.693033	38.762708
3390560	-122.711686	38.755251
3390561	-122.73618	38.794722
3390562	-122.716939	38.762962
3390613	-122.757218	38.822966
3390614	-122.80787	38.842868
3390615	-122.77925	38.843374
3390616	-122.792324	38.857088
3390635	-122.743685	38.792931
3390675	-122.70527	38.781815
3390676	-122.7266	38.773613
3390677	-122.703409	38.757344
3390678	-122.694865	38.764222
3390679	-122.716785	38.769022
3390680	-122.775382	38.829335
3390684	-122.69479	38.76426
3390685	-122.715042	38.777636
3390686	-122.775308	38.829389
3390687	-122.703406	38.757029
3390688	-122.694712	38.764295
3390689	-122.715117	38.777671
3390690	-122.703402	38.75696
3390691	-122.713499	38.766876
3390692	-122.735639	38.783476
3390693	-122.771597	38.822227
3390694	-122.703401	38.756825
3390695	-122.727554	38.792191
3390696	-122.723963	38.78862
3390697	-122.727643	38.792189
3390698	-122.723898	38.788566
3390699	-122.734764	38.790443
3390700	-122.73471	38.790514
3390701	-122.703409	38.757382
3390702	-122.735787	38.783573
3390703	-122.698974	38.747065
3390706	-122.723834	38.78852
3390708	-122.694637	38.764326
3390710	-122.734673	38.790591
3390711	-122.745238	38.786872
3390719	-122.70341	38.757421
3390720	-122.740032	38.787639
3390721	-122.739952	38.787792
3390722	-122.735808	38.79444
3390723	-122.736097	38.794666
3390724	-122.775455	38.829278
3390725	-122.745166	38.786813
3390726	-122.698073	38.76203
3390727	-122.714814	38.777525
3390728	-122.734627	38.790664
3390729	-122.745311	38.786933
3390730	-122.739981	38.787706
3390731	-122.71042	38.764693
3390732	-122.736027	38.794611
3390733	-122.743784	38.792933
3390734	-122.698159	38.762061
3390735	-122.743213	38.792939
3390736	-122.715203	38.777701
3390737	-122.743117	38.792939
3390738	-122.743119	38.793023
3390739	-122.735871	38.794486
3390740	-122.735958	38.794551
3390741	-122.698242	38.762093
3390742	-122.723689	38.788402
3390743	-122.711784	38.766658
3390744	-122.727822	38.792191
3390746	0	0
3390747	-122.750088	38.829582
3390748	-122.710901	38.755405
3390749	-122.772708	38.837829
3390750	-122.77783	38.834364
3390751	-122.771914	38.84105
3390752	-122.772357	38.837672
3390753	-122.772094	38.841012
3390754	-122.772629	38.837795
3390755	0	0
3390756	-122.777555	38.834221
3390757	-122.723661	38.778904
3390758	-122.698889	38.746978
3390767	0	0
3390768	-122.719572	38.770619
9790001	-122.831701	38.803049
9790002	-122.833881	38.803695
9790003	-122.836083	38.804494
9790004	-122.836316	38.801439
9790005	-122.836342	38.804576
9790006	-122.793436	38.804034
9790007	-122.784296	38.805812
9790008	-122.805614	38.799093
9790009	-122.792383	38.814036
9790010	-122.795022	38.811847
9790011	-122.797172	38.813677
9790012	-122.791686	38.817226
9790013	-122.793738	38.826825
9790014	-122.796077	38.80895
9790015	-122.794136	38.815131
9790016	-122.742681	38.769114
9790017	-122.756087	38.774585
9790018	-122.815902	38.80348
9790019	-122.815526	38.803364
9790020	-122.810984	38.801969
9790021	-122.745635	38.777202
9790022	-122.808563	38.811322
9790023	-122.807575	38.809983
9790024	-122.804624	38.812453
9790025	-122.804946	38.81054
9790026	-122.805092	38.808251
9790027	-122.806854	38.803002
9790028	-122.80687	38.80287
9790029	-122.804999	38.801576
9790030	-122.804011	38.800797
9790031	-122.826079	38.812723
9790032	-122.820495	38.81274
9790033	-122.810164	38.804986
9790034	0	0
9790035	-122.811606	38.805515
9790036	-122.809645	38.808293
9790037	-122.814029	38.809076
9790038	-122.811654	38.808139
9790039	0	0
9790040	-122.810001	38.807259
9790041	-122.810134	38.807505
9790042	-122.749865	38.771852
9790043	-122.747257	38.774346
9790044	-122.766152	38.789131
9790045	-122.76566	38.79585
9790046	-122.773884	38.796471
9790047	-122.780658	38.809159
9790048	-122.763791	38.790727
9790049	-122.762208	38.793382
9790050	-122.804991	38.802436
9790051	-122.800265	38.810588
9790052	-122.806001	38.818779
9790053	-122.806125	38.815776
9790054	-122.800268	38.818071
9790055	-122.803627	38.8181
9790056	-122.802153	38.813343
9790057	-122.8011	38.820552
9790058	-122.813368	38.807103
9790059	-122.822661	38.806964
9790060	-122.823511	38.807716
9790061	-122.825955	38.808124
9790062	-122.824669	38.807667
9790063	-122.821859	38.807459
9790064	-122.819793	38.807239
9790065	-122.818693	38.806465
9790066	-122.817499	38.805661
9790067	-122.820841	38.808948
9790068	-122.816494	38.806444
9790069	-122.818859	38.808122
9790070	-122.816741	38.807377
9790071	-122.817472	38.808173
9790072	-122.81779	38.809286
9790073	-122.815008	38.807504
9790074	-122.805999	38.803055
9790075	-122.805295	38.802014
9790076	-122.803987	38.801762
9790077	-122.805569	38.802674
9790078	-122.804927	38.801692
9790079	-122.805422	38.801458
9790080	-122.804514	38.801445
9790081	-122.806045	38.802865
9790082	-122.805443	38.802344
9790083	-122.805781	38.802079
9790084	-122.819737	38.806048
9790085	-122.818966	38.806971
9790086	-122.817571	38.806987
9790087	-122.81921	38.806052
9790088	-122.832179	38.798182
9790089	-122.806479	38.82316
9790090	-122.830992	38.80788
9790091	-122.803275	38.820818
9790092	-122.795928	38.831756
9790093	-122.760033	38.794341
9790094	-122.835871	38.801263
9790095	-122.833059	38.801613
9790096	-122.835171	38.801703
9790097	-122.829467	38.797096
9790098	-122.834598	38.79965
9790099	-122.797182	38.817291
9790100	-122.768178	38.788288
9790101	-122.772151	38.800165
9790102	-122.834477	38.807626
9790103	-122.806925	38.803971
9790104	-122.808189	38.803125
9790109	-122.766267	38.805713
9790110	-122.770675	38.813465
9790111	-122.829492	38.841521
9790112	-122.854727	38.815509
9790113	-122.806583	38.815938
9790114	-122.775323	38.79842
9790115	-122.763565	38.794867
9790116	-122.776578	38.796075
9790117	-122.771454	38.801145
9790118	-122.773115	38.784524
9790119	-122.758781	38.792223
9790120	-122.783909	38.81215
9790121	-122.790357	38.829902
9790122	-122.765391	38.787502
9790123	-122.828781	38.79472
9790124	-122.804643	38.800486
9790125	-122.764928	38.797434
9790126	-122.771136	38.797096
9790127	-122.801682	38.815884
9790128	-122.823164	38.814125
9790129	-122.811825	38.804044
9790131	-122.815663	38.813823
9790132	-122.806041	38.802173
9790133	-122.82381	38.798119
9790134	-122.832647	38.800997
9790135	-122.832195	38.800059
9790136	-122.771013	38.797358
9790137	-122.805679	38.802088
9790138	-122.804323	38.801059
9790139	-122.805807	38.826465
9790140	-122.789585	38.829603
9790141	-122.779048	38.78234
9790142	-122.823182	38.793749
9790143	-122.802886	38.82732
9790144	-122.793618	38.81218
9790145	-122.804177	38.825373
9790146	-122.795936	38.831523
9790147	-122.801906	38.824499
9790148	-122.820774	38.799605
9790149	-122.839449	38.804109
9790150	-122.83392	38.793726
9790151	-122.803077	38.827525
9790152	-122.802662	38.827129
9790153	-122.808693	38.827401
9790154	-122.79606	38.831256
9790155	-122.808153	38.827212
9790156	-122.798712	38.836062
9790157	-122.837948	38.801763
9790158	-122.834362	38.797949
9790161	-122.804478	38.825648
9790162	-122.726225	38.749708
9790163	-122.806667	38.818384
9790164	-122.84237	38.803525
9790165	-122.842092	38.805752
9790166	-122.784217	38.812074
9790167	-122.806833	38.818161
9790168	-122.792891	38.805493
9790169	-122.79264	38.805657
9790170	-122.792386	38.80582
9790172	-122.778785	38.823673
9790174	-122.784525	38.812008
9790175	-122.79187	38.806168
9790176	-122.792132	38.805995
9790177	-122.793526	38.803973
9790178	-122.793251	38.804159
9790179	-122.810402	38.807303
9790180	-122.810474	38.807214
9790181	-122.79836	38.835663
9790182	-122.820927	38.835358
9790183	-122.86732	38.846291
9790184	-122.772463	38.821178
9790185	-122.832834	38.801291
9790192	-122.778989	38.823459
9790193	-122.776753	38.796043
9790194	-122.817155	38.804358
9790195	-122.817044	38.80443
9790196	-122.816925	38.804505
