1,,,,,,,,,,,,,,,,,
3390001,,,,,,,,,,,,,,,,,
03390002,Santa Rosa Geothermal Co.                                                                           ,McKinley        ,2     ,ABDN,DST,SRGC ,1969,Lake                ,033,GEYSR,P,,,26,11N,8W,MD
03390003,"Geysers Power Company, LLC",McKinley        ,3     ,ACTV,DST,CALP ,1969,Lake                ,033,GEYSR,P,,,26,11N,8W,MD
03390004,"Geysers Power Company, LLC",McKinley        ,4     ,ABDN,DST,CALP ,1969,Lake                ,033,GEYSR,P,,,35,11N,8W,MD
03390005,"Geysers Power Company, LLC",Thorne          ,1     ,ACTV,DST,CALP ,1970,Lake                ,033,GEYSR,P,,,27,11N,8W,MD
03390009,Santa Rosa Geothermal Co.                                                                           ,Bianchi         ,1     ,ABDN,DST,SRGC ,1973,Lake                ,033,GEYSR,P,,,23,11N,8W,MD
03390014,Santa Rosa Geothermal Co.                                                                           ,McKinley        ,5     ,ABDN,INJ,SRGC ,1977,Lake                ,033,GEYSR,P,,,26,11N,8W,MD
03390015,"Geysers Power Company, LLC",MLM             ,1     ,ACTV,DST,CALP ,1971,Lake                ,033,GEYSR,P,,,26,11N,8W,MD
03390016,Santa Rosa Geothermal Co.                                                                           ,McKinley        ,6     ,ABDN,DST,SRGC ,1974,Lake                ,033,GEYSR,P,,,26,11N,8W,MD
03390017,"Geysers Power Company, LLC",D & V           ,A-1   ,ACTV,DST,CALP ,1973,Lake                ,033,GEYSR,P,,,27,11N,8W,MD
03390018,"Geysers Power Company, LLC",Abel            ,1     ,ACTV,DST,CALP ,1974,Lake                ,033,GEYSR,P,,,26,11N,8W,MD
03390019,"Geysers Power Company, LLC",NE Geysers Unit ,1     ,ACTV,DST,CALP ,1976,Lake                ,033,GEYSR,P,,,9,11N,8W,MD
03390020,Union Oil Company of California Geothermal Division                                                 ,Horner St 4596  ,1     ,ABDN,DST,UNION,1975,Lake                ,033,GEYSR,S,,,6,11N,8W,MD
03390021,"Geysers Power Company, LLC",Thorne          ,3     ,ACTV,DST,CALP ,1974,Lake                ,033,GEYSR,P,,,27,11N,8W,MD
03390022,Santa Rosa Geothermal Co.                                                                           ,McKinley        ,8     ,ABDN,DST,SRGC ,1974,Lake                ,033,GEYSR,P,,,26,11N,8W,MD
03390023,"Geysers Power Company, LLC",Davies Estate   ,1     ,IDLE,DST,CALP ,1975,Lake                ,033,GEYSR,P,,,36,11N,8W,MD
3390024,,,,,,,,,,,,,,,,,
03390025,"Geysers Power Company, LLC",Thorne          ,6     ,ACTV,DST,CALP ,1975,Lake                ,033,GEYSR,P,,,26,11N,8W,MD
03390027,"Geysers Power Company, LLC",Barrows         ,1     ,ABDN,INJ,CALP ,1975,Lake                ,033,GEYSR,P,,,35,11N,8W,MD
03390030,"Geysers Power Company, LLC",Davies Estate   ,2     ,ABDN,DST,CALP ,1976,Lake                ,033,GEYSR,P,,,31,11N,7W,MD
03390033,"BOTTLE ROCK POWER, LLC",Francisco       ,1-5   ,SUSP,DST,BRPL ,1976,Lake                ,033,GEYSR,P,,,5,11N,8W,MD
03390034,"Geysers Power Company, LLC",CA-958          ,76-35 ,ACTV,DST,CALP ,1975,Lake                ,033,GEYSR,F,,,35,11N,8W,MD
03390036,"Geysers Power Company, LLC",Davies Estate   ,3     ,IDLE,DST,CALP ,1976,Lake                ,033,GEYSR,P,,,31,11N,7W,MD
03390048,"Geysers Power Company, LLC",PDC             ,1     ,ACTV,DST,CALP ,1983,Lake                ,033,GEYSR,P,,,22,11N,8W,MD
03390049,"BOTTLE ROCK POWER, LLC",Francisco       ,2-5   ,IDLE,INJ,BRPL ,1977,Lake                ,033,GEYSR,P,,,5,11N,8W,MD
03390058,Santa Rosa Geothermal Co.                                                                           ,Bianchi         ,2     ,ABDN,DST,SRGC ,1977,Lake                ,033,GEYSR,P,,,23,11N,8W,MD
03390059,"Geysers Power Company, LLC",MLM             ,2     ,ACTV,DST,CALP ,1977,Lake                ,033,GEYSR,P,,,26,11N,8W,MD
03390060,Northern California Power Agency                                                                    ,CA-949          ,17A-1 ,ACTV,DST,NCPA ,1975,Lake                ,033,GEYSR,F,,,1,10N,8W,MD
3390063,,,,,,,,,,,,,,,,,
3390084,,,,,,,,,,,,,,,,,
03390098,"Geysers Power Company, LLC",D & V           ,A-2   ,ACTV,DST,CALP ,1977,Lake                ,033,GEYSR,P,,,34,11N,8W,MD
